workload,variant,domain,injected,masked,corrected,uncorrectable,failures,timeouts,success,success_rate
regression13,baseline_fi,PC,39,39,0,0,0,0,39,1
regression13,baseline_fi,STATE,45,45,0,0,0,0,45,1
regression13,baseline_fi,RF,35,35,0,0,0,0,35,1
regression13,baseline_fi,DMEM,53,53,0,0,0,0,53,1
regression13,baseline_fi,IMEM,33,33,0,0,0,0,33,1
regression13,baseline_fi,IMEM2,1,1,0,0,0,0,1,1
regression13,pc_state_fi,PC,39,0,39,0,0,0,39,1
regression13,pc_state_fi,STATE,45,0,45,0,0,0,45,1
regression13,pc_state_fi,RF,35,35,0,0,0,0,35,1
regression13,pc_state_fi,DMEM,53,53,0,0,0,0,53,1
regression13,pc_state_fi,IMEM,33,33,0,0,0,0,33,1
regression13,pc_state_fi,IMEM2,1,1,0,0,0,0,1,1
regression13,rf_tmr_fi,PC,39,0,39,0,0,0,39,1
regression13,rf_tmr_fi,STATE,45,0,45,0,0,0,45,1
regression13,rf_tmr_fi,RF,35,19,16,0,0,0,35,1
regression13,rf_tmr_fi,DMEM,53,53,0,0,0,0,53,1
regression13,rf_tmr_fi,IMEM,33,33,0,0,0,0,33,1
regression13,rf_tmr_fi,IMEM2,1,1,0,0,0,0,1,1
regression13,rf_self_heal_fi,PC,39,0,39,0,0,0,39,1
regression13,rf_self_heal_fi,STATE,45,0,45,0,0,0,45,1
regression13,rf_self_heal_fi,RF,35,19,16,0,0,0,35,1
regression13,rf_self_heal_fi,DMEM,53,53,0,0,0,0,53,1
regression13,rf_self_heal_fi,IMEM,33,33,0,0,0,0,33,1
regression13,rf_self_heal_fi,IMEM2,1,1,0,0,0,0,1,1
regression13,mem_ecc_fi,PC,39,0,39,0,0,0,39,1
regression13,mem_ecc_fi,STATE,45,0,45,0,0,0,45,1
regression13,mem_ecc_fi,RF,35,19,16,0,0,0,35,1
regression13,mem_ecc_fi,DMEM,53,50,3,0,0,0,53,1
regression13,mem_ecc_fi,IMEM,33,20,13,0,0,0,33,1
regression13,mem_ecc_fi,IMEM2,1,0,0,1,0,0,0,0
signature62,baseline_fi,PC,39,39,0,0,0,0,39,1
signature62,baseline_fi,STATE,45,45,0,0,0,0,45,1
signature62,baseline_fi,RF,35,35,0,0,0,0,35,1
signature62,baseline_fi,DMEM,53,53,0,0,0,0,53,1
signature62,baseline_fi,IMEM,33,33,0,0,0,0,33,1
signature62,baseline_fi,IMEM2,1,1,0,0,0,0,1,1
signature62,pc_state_fi,PC,39,0,39,0,0,0,39,1
signature62,pc_state_fi,STATE,45,0,45,0,0,0,45,1
signature62,pc_state_fi,RF,35,35,0,0,0,0,35,1
signature62,pc_state_fi,DMEM,53,53,0,0,0,0,53,1
signature62,pc_state_fi,IMEM,33,33,0,0,0,0,33,1
signature62,pc_state_fi,IMEM2,1,1,0,0,0,0,1,1
signature62,rf_tmr_fi,PC,39,0,39,0,0,0,39,1
signature62,rf_tmr_fi,STATE,45,0,45,0,0,0,45,1
signature62,rf_tmr_fi,RF,35,16,19,0,0,0,35,1
signature62,rf_tmr_fi,DMEM,53,53,0,0,0,0,53,1
signature62,rf_tmr_fi,IMEM,33,33,0,0,0,0,33,1
signature62,rf_tmr_fi,IMEM2,1,1,0,0,0,0,1,1
signature62,rf_self_heal_fi,PC,39,0,39,0,0,0,39,1
signature62,rf_self_heal_fi,STATE,45,0,45,0,0,0,45,1
signature62,rf_self_heal_fi,RF,35,16,19,0,0,0,35,1
signature62,rf_self_heal_fi,DMEM,53,53,0,0,0,0,53,1
signature62,rf_self_heal_fi,IMEM,33,33,0,0,0,0,33,1
signature62,rf_self_heal_fi,IMEM2,1,1,0,0,0,0,1,1
signature62,mem_ecc_fi,PC,39,0,39,0,0,0,39,1
signature62,mem_ecc_fi,STATE,45,0,45,0,0,0,45,1
signature62,mem_ecc_fi,RF,35,16,19,0,0,0,35,1
signature62,mem_ecc_fi,DMEM,53,8,45,0,0,0,53,1
signature62,mem_ecc_fi,IMEM,33,0,33,0,0,0,33,1
signature62,mem_ecc_fi,IMEM2,1,0,0,1,0,0,0,0
